,,,,,,,,,,,,
Dr.name,Dr.value,Dr.unit,Cr.name,Cr.value,Cr.unit,区分,日付,仕訳番号,取引先,取引先コード,取引先住所,備考
商品,500,円,買掛金,500,円,仕入れ,20240910,1001,山田商店,A123,東京都新宿区％％２－１－４,商品購入
現金,500,円,売上,500,円,売上計上,20240918,1002,田中小売店,B111,東京都足立区％％３－４－５,商品販売
売上原価,250,円,商品,250,円,売上原価計上,20240918,1003,振替,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
売上,500,円,売上総利益,500,円,売上総利益振替,20240930,1004,振替,,,
売上総利益,250,円,売上原価,250,円,売上総利益振替,20240930,1005,振替,,,
,,,,,,,,,,,,
リース代,100,円,現金,100,円,販売費及び一般管理費,,1006,東京リース,C002,東京都江東区％％3－4－6,販売費・販売管理費
,,,,,,,,,,,,
営業利益,100,円,リース代,100,円,リース代の営業利益振替,,1007,振替,,,
営業利益,250,円,売上総利益,250,円,売上総利益の営業利益振替,,1008,振替,,,
売上総利益,500,円,営業利益,500,円,売上総利益の営業利益振替,,1009,振替,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
現金,100,円,利息,100,円,営業外利益,,1010,市川銀行,C001,千葉県市川市％％1-2-3,営業外利益・営業外損失
,,,,,,,,,,,,
利息,100,円,経常利益,100,円,利息の経常利益への振替,,1011,振替,,,
経常利益,100,円,営業利益,100,円,営業利益の経常利益振替,,1012,振替,,,
経常利益,250,円,営業利益,250,円,営業利益の経常利益振替,,1013,振替,,,
営業利益,500,円,経常利益,500,円,営業利益の経常利益振替,,1014,振替,,,
,,,,,,,,,,,,
特別損失,100,円,商品,100,円,特別損失,,1015,自己,,,特別利益・特別損失
,,,,,,,,,,,,
当期純利益,100,円,特別損失,100,円,損失の当期純利益への振替,,1016,振替,,,
経常利益,100,円,当期純利益,100,円,経常利益の当期純利益への振替,,1017,振替,,,
当期純利益,100,円,経常利益,100,円,経常利益の当期純利益への振替,,1018,振替,,,
当期純利益,250,円,経常利益,250,円,経常利益の当期純利益への振替,,1019,振替,,,
経常利益,500,円,当期純利益,500,円,経常利益の当期純利益への振替,,1020,振替,,,
