#DtbasePatternSet
#,bOoLeAn,*,*
#,InTeGeR,*,*
#,dEcImAl,*,*
#,StRiNg,*,*
#,bOoLeAn,#,*
#,InTeGeR,#,*
#,dEcImAl,#,*
#,StRiNg,#,*
#,bOoLeAn,#,#
#,InTeGeR,#,#
#,dEcImAl,#,#
#,StRiNg,#,#
基底キー1,bOoLeAn,*,*
基底キー1,InTeGeR,*,*
基底キー1,dEcImAl,*,*
基底キー1,StRiNg,*,*
基底キー1,bOoLeAn,基底キー2,*
基底キー1,InTeGeR,基底キー2,*
基底キー1,dEcImAl,基底キー2,*
基底キー1,StRiNg,基底キー2,*
基底キー1,bOoLeAn,基底キー2,基底キー3
基底キー1,InTeGeR,基底キー2,基底キー3
基底キー1,dEcImAl,基底キー2,基底キー3
基底キー1,StRiNg,基底キー2,基底キー3
基底キー5,bOoLeAn,基底キー4,基底キー2
基底キー5,InTeGeR,基底キー4,基底キー2
基底キー5,dEcImAl,基底キー4,基底キー2
基底キー5,StRiNg,基底キー4,基底キー2
記号#$()=~\`[{;+:*]}./_,BOOLEAN,エスケープ,ユニコード：ここまで
記号#$()=~\`[{;+:*]}./_,INTEGER,エスケープ,ユニコード：ここまで
記号#$()=~\`[{;+:*]}./_,DECIMAL,エスケープ,ユニコード：ここまで
記号#$()=~\`[{;+:*]}./_,STRING,エスケープ,ユニコード：ここまで
\A\s*\Q基底キー\E\d\s*\z,BOOLEAN,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
\A\s*\Q基底キー\E\d\s*\z,INTEGER,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
\A\s*\Q基底キー\E\d\s*\z,DECIMAL,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
\A\s*\Q基底キー\E\d\s*\z,STRING,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
基底*,bo*an,*,*
基底*,in*er,*,*
基底*,de*al,*,*
基底*,st*ng,*,*
基底*,bo*an,基底*2,*
基底*,in*er,基底*2,*
基底*,de*al,基底*2,*
基底*,st*ng,基底*2,*
基底*,bo*an,基底*2,基底*3
基底*,in*er,基底*2,基底*3
基底*,de*al,基底*2,基底*3
基底*,st*ng,基底*2,基底*3
基底*5,bo*an,基底*4,基底*2
基底*5,in*er,基底*4,基底*2
基底*5,de*al,基底*4,基底*2
基底*5,st*ng,基底*4,基底*2
記号#$()=~\`[{;+:*]}./_,bo*an,エスケープ,ユニコード：ここまで
記号#$()=~\`[{;+:*]}./_,in*er,エスケープ,ユニコード：ここまで
記号#$()=~\`[{;+:*]}./_,de*al,エスケープ,ユニコード：ここまで
記号#$()=~\`[{;+:*]}./_,st*ng,エスケープ,ユニコード：ここまで
\A\s*\Q基底キー\E\d\s*\z,bo*an,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
\A\s*\Q基底キー\E\d\s*\z,in*er,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
\A\s*\Q基底キー\E\d\s*\z,de*al,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
\A\s*\Q基底キー\E\d\s*\z,st*ng,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
