#DtbaseSet
#,boolean,#,#
#,decimal,#,#
#,string,#,#
基底キー1,boolean,#,#
基底キー1,decimal,#,#
基底キー1,string,#,#
基底キー1,boolean,基底キー2,#
基底キー1,decimal,基底キー2,#
基底キー1,string,基底キー2,#
基底キー1,boolean,基底キー2,基底キー3
基底キー1,decimal,基底キー2,基底キー3
基底キー1,string,基底キー2,基底キー3
基底キー5,boolean,基底キー4,基底キー2
基底キー5,decimal,基底キー4,基底キー2
基底キー5,string,基底キー4,基底キー2
基底#$()=~\`[{;+:*]}./_,boolean,エスケープ,ユニコード：ここまで
基底#$()=~\`[{;+:*]}./_,decimal,エスケープ,ユニコード：ここまで
基底#$()=~\`[{;+:*]}./_,string,エスケープ,ユニコード：ここまで
\A\s*\Q基底キー\E\d\s*\z,boolean,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
\A\s*\Q基底キー\E\d\s*\z,decimal,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
\A\s*\Q基底キー\E\d\s*\z,string,基底キー(\d{1})$,(\d{4})/(\d{2})/(\d{2})
